"ID","Personaje","Rareza","Tipos","Aprendizaje por nivel","Definitiva al nivel 35","Pasiva","PS / ATQ / DEF / EATQ / EDEF / VEL"
"chouchou","Chouchou","1","Golpe","1: Cabezazo | 10: Puñetazo","Cabezazo","Sin pasiva individual","15 / 8 / 6 / 6 / 5 / 10"
"alvida","Alvida","2","Golpe","1: Cabezazo | 8: Puñetazo","Cabezazo","Sin pasiva individual","22 / 11 / 9 / 9 / 8 / 6"
"helmeppo","Helmeppo","1","Corte","1: Corte","Corte","Sin pasiva individual","18 / 8 / 7 / 6 / 6 / 7"
"morgan","Capitán Morgan","3","Corte / Tierra","1: Hacha de Guerra | 10: Pisotón Sísmico","Pisotón Sísmico","Sin pasiva individual","26 / 13 / 10 / 11 / 9 / 7"
"mohji","Mohji y Richie","2","Golpe","1: Garra de Gato | 10: Cabezazo","Garra de Gato","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 8"
"cabaji","Cabaji","2","Corte","1: Cuchillas Circenses | 10: Corte Doble","Corte Doble","Sin pasiva individual","20 / 10 / 7 / 8 / 6 / 11"
"buggy","Buggy el Payaso","3","Corte / Fruta","1: Cuchillas Circenses | 1: Buggy Ball | 8: Corte Doble | 16: Muggy Ball","Muggy Ball","Inmune a ataques de Corte. Las bombas y los golpes sí le afectan.","27 / 13 / 9 / 11 / 8 / 10"
"sham","Sham y Buchi","2","Corte / Oscuridad","1: Garra de Gato | 10: Golpe Bajo","Garra de Gato","Sin pasiva individual","21 / 10 / 8 / 8 / 7 / 10"
"kuro","Capitán Kuro","3","Corte / Oscuridad","1: Garra de Gato | 10: Corte Doble | 18: Golpe Bajo","Golpe Bajo","Sin pasiva individual","28 / 14 / 9 / 12 / 8 / 14"
"gin","Gin","2","Golpe","1: Puñetazo | 10: Tonfas del Demonio","Tonfas del Demonio","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"pearl","Pearl","2","Golpe / Fuego","1: Puñetazo | 10: Llamarada","Llamarada","Sin pasiva individual","24 / 10 / 13 / 8 / 12 / 6"
"krieg","Don Krieg","3","Disparo / Veneno","1: Cañonazo | 10: Púa Venenosa | 18: Gas Venenoso MH5","Gas Venenoso MH5","Sin pasiva individual","30 / 14 / 12 / 12 / 11 / 8"
"chuu","Chuu","2","Agua / Disparo","1: Chorro de Agua | 10: Arpón","Arpón","Sin pasiva individual","23 / 11 / 8 / 13 / 9 / 10"
"kuroobi","Kuroobi","2","Agua / Golpe","1: Karate Gyojin | 10: Tiburón Dardo","Tiburón Dardo","Sin pasiva individual","24 / 12 / 10 / 14 / 11 / 9"
"hachi","Hachi","2","Corte / Agua","1: Corte Doble | 10: Oni Giri","Oni Giri","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 9"
"arlong","Arlong","4","Agua / Corte","1: Dientes de Sierra | 10: Tiburón Dardo | 20: Torpedo Acuático","Torpedo Acuático","+15% de daño físico y de Agua.","32 / 15 / 12 / 17 / 13 / 11"
"tashigi","Tashigi","3","Corte","1: Oni Giri | 12: Tora Gari","Tora Gari","Sin pasiva individual","25 / 13 / 10 / 11 / 9 / 12"
"smoker","Capitán Smoker","5","Viento / Fruta","1: White Blow | 12: Golpe Bajo | 20: Haki de Armadura","White Blow","+20 puntos de evasión.","34 / 15 / 13 / 17 / 14 / 12"
"chopper","Chopper","3","Fruta / Golpe","1: Remedy Touch | 8: Puñetazo | 16: Cabezazo | 24: Monster Point","Monster Point","Recupera un 3% de sus PS por ronda; el Clímax reduce la curación.","25 / 7 / 9 / 9 / 10 / 9"
"robin","Nico Robin","3","Fruta / Oscuridad","1: Cien Fleurs: Clutch | 12: Golpe Bajo | 24: Demonio Fleur","Demonio Fleur","+10 puntos de probabilidad de crítico.","21 / 9 / 8 / 11 / 9 / 10"
"franky","Franky","3","Disparo / Golpe","1: Strong Right | 10: Cañonazo | 22: Radical Beam","Radical Beam","Los ataques recibidos no pueden ser críticos.","30 / 11 / 13 / 9 / 12 / 7"
"brook","Brook","3","Corte / Hielo","1: Soul Solid | 10: Corte Doble | 20: Lullaby Flurry","Lullaby Flurry","Revive una vez por viaje con el 20% de PS. No revive aliados en Nuzlocke.","19 / 9 / 7 / 7 / 6 / 14"
"jinbe","Jinbe","4","Agua / Golpe","1: Karate Gyojin | 10: Tiburón Dardo | 22: Buraikan","Buraikan","+15% de defensa y de daño de Agua.","33 / 11 / 11 / 13 / 12 / 8"
"roger","Gol D. Roger","5","Haki","1: Kamusari | 15: Haki del Rey","Kamusari","+20% de daño de ataques de los aliados vivos.","34 / 16 / 13 / 18 / 14 / 13"
"newgate","Barbablanca","5","Tierra / Fruta","1: Pisotón Sísmico | 15: Shima Yurashi","Shima Yurashi","+25% de ataque con menos del 50% de PS.","38 / 16 / 14 / 18 / 15 / 8"
"kaido","Kaido","5","Fuego / Fruta","1: Bolo Breath | 18: Kaen Daiko","Kaen Daiko","+20% de defensa y -15% de daño recibido de ataques.","40 / 16 / 15 / 18 / 16 / 9"
"bigmom","Big Mom","5","Oscuridad / Fruta","1: Soul Pocus | 16: Ikoku","Ikoku","Drena un 4% de los PS del rival activo por ronda. El Clímax reduce la curación.","38 / 15 / 14 / 17 / 15 / 8"
"shanks","Shanks","5","Haki","1: Haki de Armadura | 14: Kamusari Carmesí","Kamusari Carmesí","Reduce un 15% el ataque del bando rival mientras viva.","34 / 16 / 12 / 18 / 13 / 14"
"teach","Barbanegra","5","Oscuridad / Fruta","1: Black Hole | 12: Pisotón Sísmico","Black Hole","+25% de daño contra usuarios de Fruta.","36 / 15 / 12 / 17 / 13 / 9"
"law","Trafalgar Law","4","Fruta / Corte","1: Shambles | 10: Oni Giri | 20: Gamma Knife","Gamma Knife","+15% de daño especial.","24 / 11 / 9 / 13 / 10 / 12"
"kid","Eustass Kid","4","Fruta / Rayo","1: Puñetazo | 12: Punk Rotten","Punk Rotten","+15% de daño físico.","26 / 12 / 10 / 14 / 11 / 8"
"mihawk","Dracule Mihawk","5","Corte / Haki","1: Oni Giri | 12: Corte del Mejor Espadachín","Corte del Mejor Espadachín","+15 puntos de probabilidad de crítico.","28 / 16 / 11 / 14 / 10 / 12"
"crocodile","Crocodile","4","Tierra / Fruta","1: Desert Spada | 12: Pisotón Sísmico","Desert Spada","Reduce un 15% el daño recibido, excepto Agua.","27 / 12 / 11 / 14 / 12 / 9"
"doflamingo","Doflamingo","4","Fruta / Corte","1: Parasite | 10: Corte Doble","Parasite","+15% de daño especial.","27 / 13 / 10 / 15 / 11 / 12"
"kuma","Bartholomew Kuma","4","Fruta / Golpe","1: Puñetazo | 12: Ursus Shock","Ursus Shock","Sin pasiva individual","30 / 12 / 14 / 14 / 15 / 7"
"hancock","Boa Hancock","4","Fruta / Golpe","1: Mero Mero Mellow | 10: Patada","Mero Mero Mellow","Al golpear reduce la velocidad rival un 15% durante la siguiente ronda.","24 / 12 / 9 / 14 / 10 / 12"
"akainu","Akainu","5","Fuego / Fruta","1: Llamarada | 14: Dai Funka","Dai Funka","+20% de daño de Fuego.","30 / 15 / 13 / 17 / 14 / 8"
"kizaru","Kizaru","5","Rayo / Fruta","1: Descarga | 14: Yasakani no Magatama","Yasakani no Magatama","+30% de velocidad.","26 / 13 / 10 / 15 / 11 / 15"
"aokiji","Aokiji","5","Hielo / Fruta","1: Soul Solid | 12: Ice Age","Ice Age","Al golpear reduce la velocidad rival un 15% durante la siguiente ronda.","28 / 12 / 12 / 14 / 13 / 9"
"garp","Monkey D. Garp","5","Golpe / Haki","1: Puñetazo | 12: Galaxy Impact","Galaxy Impact","Los ataques físicos ignoran un 30% de la defensa rival.","30 / 16 / 12 / 14 / 11 / 10"
"dragon","Monkey D. Dragon","5","Viento / Haki","1: Ráfaga | 12: Vientos de Libertad","Vientos de Libertad","+15 puntos de evasión a los aliados vivos. Interpretación para el juego.","30 / 14 / 12 / 16 / 13 / 12"
"sabo","Sabo","4","Fuego / Haki","1: Patada | 12: Hiken","Hiken","+15% de daño de Fuego.","26 / 13 / 10 / 15 / 11 / 12"
"lucci","Rob Lucci","4","Fruta / Haki","1: Garra de Gato | 14: Rokuogan","Rokuogan","+15% de daño físico.","26 / 13 / 11 / 15 / 12 / 13"
"bonney","Jewelry Bonney","3","Fruta","1: Puñetazo | 10: Distortion Future","Distortion Future","Sin pasiva individual","22 / 10 / 9 / 12 / 10 / 11"
"vegapunk","Dr. Vegapunk","3","Disparo / Rayo","1: Descarga | 8: Guardia Férrea | 14: Radical Beam","Radical Beam","Sin pasiva individual","20 / 9 / 9 / 7 / 8 / 8"
"oden","Kozuki Oden","5","Corte / Haki","1: Oni Giri | 14: Togen Totsuka","Togen Totsuka","+10 puntos de crítico y +0,20 al multiplicador de daño crítico.","30 / 16 / 11 / 14 / 10 / 12"
"yamato","Yamato","4","Rayo / Hielo","1: Cabezazo | 12: Raimei Hakke","Raimei Hakke","+15% de ataque y defensa.","28 / 13 / 11 / 15 / 12 / 11"
"king","King","4","Fuego / Fruta","1: Llamarada | 12: Llama Lunaria","Llama Lunaria","Reduce un 15% el daño recibido de ataques.","28 / 13 / 13 / 15 / 14 / 11"
"queen","Queen","4","Veneno / Fruta","1: Púa Venenosa | 12: Virus Momia","Virus Momia","+20% de daño de Veneno.","32 / 12 / 13 / 14 / 14 / 7"
"katakuri","Katakuri","5","Fruta / Haki","1: Mochi Tsuki | 14: Haki de Armadura","Mochi Tsuki","Esquiva los dos primeros ataques del combate.","28 / 13 / 11 / 15 / 12 / 12"
"marco","Marco el Fénix","4","Fuego / Fruta","1: Llamarada | 10: Llamas del Fénix","Llamarada","Cura al aliado activo un 6% de sus PS por ronda; el Clímax reduce la curación.","27 / 11 / 11 / 13 / 12 / 12"
"ace","Portgas D. Ace","4","Fuego / Fruta","1: Llamarada | 10: Hiken | 20: Dai Enkai: Entei","Dai Enkai: Entei","Sin pasiva individual","26 / 13 / 10 / 15 / 11 / 12"
"kaya","Kaya","1","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","16 / 7 / 7 / 9 / 8 / 8"
"merry","Merry","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"ninjin","Ninjin","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"piiman","Piiman","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"tamanegi","Tamanegi","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"boodle","Boodle","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"zeff","Zeff","3","Golpe / Fuego","1: Golpe básico | 10: Ráfaga ígnea | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"patty","Patty","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"carnecook","Carne","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"bellemere","Belle-mère","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"nojiko","Nojiko","1","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","15 / 7 / 7 / 9 / 8 / 7"
"genzo","Genzo","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"kuina","Kuina","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"koushirou","Koushirou","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"makino","Makino","1","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","15 / 7 / 7 / 9 / 8 / 7"
"woopslap","Woop Slap","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"ipponmatsu","Ipponmatsu","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"bogard","Bogard","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"brandnew","Brandnew","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"higuma","Higuma","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"jango","Jango","1","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"fullbody","Fullbody","1","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 8"
"nezumi","Nezumi","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"ripper","Ripper","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"vivi","Nefertari Vivi","3","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"karoo","Karoo","2","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"igaram","Igaram","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"cobra","Nefertari Cobra","2","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"chaka","Chaka","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"pell","Pell","3","Viento / Fruta","1: Ráfaga | 10: Dominio de Fruta | 20: Tornado","Tornado","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"kohza","Kohza","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"toto","Toto","1","Tierra","1: Rocazo | 10: Impacto sísmico | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","16 / 7 / 7 / 9 / 8 / 8"
"kureha","Dr. Kureha","3","Veneno","1: Púa venenosa | 10: Gas tóxico | 20: Nube venenosa","Nube venenosa","Sin pasiva individual","23 / 11 / 9 / 13 / 10 / 10"
"hiriluk","Dr. Hiriluk","1","Veneno","1: Púa venenosa | 10: Gas tóxico | 20: Nube venenosa","Nube venenosa","Sin pasiva individual","16 / 7 / 7 / 9 / 8 / 8"
"dalton","Dalton","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"dorry","Dorry","3","Corte / Tierra","1: Corte básico | 10: Impacto sísmico | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"brogy","Brogy","3","Golpe / Tierra","1: Golpe básico | 10: Impacto sísmico | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"wapol","Wapol","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"chess","Chess","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"kuromarimo","Kuromarimo","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"gem","Gem (Mr. 5)","2","Fuego / Fruta","1: Llamarada | 10: Dominio de Fruta | 20: Explosión de fuego","Explosión de fuego","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"mikita","Mikita (Miss Valentine)","2","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"galdino","Galdino (Mr. 3)","2","Tierra / Fruta","1: Rocazo | 10: Dominio de Fruta | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"marianne","Miss Goldenweek","1","Oscuridad","1: Golpe bajo | 10: Presión sombría | 20: Asalto sombrío","Asalto sombrío","Sin pasiva individual","17 / 8 / 7 / 10 / 8 / 8"
"mr4","Mr. 4","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"merrychristmas","Miss Merry Christmas","2","Tierra / Fruta","1: Rocazo | 10: Dominio de Fruta | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"bentham","Bentham (Mr. 2)","3","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"dazbones","Daz Bones (Mr. 1)","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"paula","Paula (Doublefinger)","3","Corte / Fruta","1: Corte básico | 10: Dominio de Fruta | 20: Corte certero","Corte certero","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"hina","Hina","3","Fruta","1: Técnica de Fruta | 10: Dominio de Fruta | 20: Poder de Fruta","Poder de Fruta","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"ganfall","Gan Fall","3","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","24 / 11 / 9 / 13 / 10 / 11"
"pierre","Pierre","1","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","15 / 7 / 7 / 9 / 8 / 7"
"conis","Conis","1","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","17 / 8 / 7 / 10 / 8 / 8"
"pagaya","Pagaya","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","15 / 8 / 7 / 6 / 6 / 7"
"wyper","Wyper","3","Disparo / Fuego","1: Disparo | 10: Ráfaga ígnea | 20: Artillería","Artillería","Sin pasiva individual","25 / 13 / 9 / 11 / 8 / 11"
"kamakiri","Kamakiri","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"braham","Braham","2","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"genbo","Genbo","2","Tierra","1: Rocazo | 10: Impacto sísmico | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"raki","Raki","1","Disparo","1: Disparo | 10: Disparo preciso | 20: Artillería","Artillería","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 8"
"aisa","Aisa","1","Haki","1: Armadura | 10: Impacto de Haki | 20: Haki concentrado","Haki concentrado","Sin pasiva individual","16 / 7 / 7 / 9 / 8 / 8"
"cricket","Mont Blanc Cricket","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"masira","Masira","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"shoujou","Shoujou","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"noland","Mont Blanc Noland","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"kalgara","Kalgara","3","Corte / Fuego","1: Corte básico | 10: Ráfaga ígnea | 20: Corte certero","Corte certero","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"bellamy","Bellamy","2","Golpe / Fruta","1: Golpe básico | 10: Dominio de Fruta | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"sarquiss","Sarquiss","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","21 / 11 / 8 / 9 / 7 / 9"
"satori","Satori","2","Viento","1: Ráfaga | 10: Vendaval | 20: Tornado","Tornado","Sin pasiva individual","19 / 9 / 8 / 11 / 9 / 8"
"shura","Shura","2","Fuego","1: Llamarada | 10: Ráfaga ígnea | 20: Explosión de fuego","Explosión de fuego","Sin pasiva individual","21 / 10 / 8 / 12 / 9 / 9"
"gedatsu","Gedatsu","2","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
"ohm","Ohm","3","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","23 / 12 / 9 / 10 / 8 / 10"
"yama","Yama","2","Tierra","1: Rocazo | 10: Impacto sísmico | 20: Ruptura terrestre","Ruptura terrestre","Sin pasiva individual","20 / 9 / 8 / 11 / 9 / 9"
"enel","Enel","5","Rayo / Fruta","1: Descarga | 10: Dominio de Fruta | 20: Tormenta eléctrica","Tormenta eléctrica","+15% de daño de Rayo. Esquiva el primer ataque del combate.","34 / 15 / 13 / 17 / 14 / 13"
"iceburg","Iceburg","3","Golpe","1: Golpe básico | 10: Golpe frontal | 20: Impacto contundente","Impacto contundente","Sin pasiva individual","24 / 12 / 9 / 10 / 8 / 11"
"paulie","Paulie","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","19 / 10 / 8 / 8 / 7 / 8"
"lulu","Peepley Lulu","2","Corte","1: Corte básico | 10: Corte doble | 20: Corte certero","Corte certero","Sin pasiva individual","20 / 10 / 8 / 8 / 7 / 9"
